🥑 avocado,🥔 potato,🥕 carrot,🌽 corn,🌶 pepper,🥒 cucumber,🥦 broccoli,🍄 mushroom,🌰 chestnut
4.9,1.5,0.6,-0.8,1.2,1.8,3.9,-8.5,4
4.5,0.8,-1.3,0.1,-0.2,1.7,3.8,-8.4,2
5.5,-1,0.3,-0.3,1.4,0.7,3.6,-7.3,2.9
5.7,-1.2,-1,6,0,0.1,5.2,-8.9,3.1
4.3,-1.5,-0.3,-1.5,-0.8,0.8,5.9,-7.8,3.7
3.2,0.8,-1,-0.2,0.2,0.2,3.7,-8.5,3.5
3.1,0.2,1.2,-0.2,-0.9,0.5,3.1,-7.5,1.5
5.1,0.5,-0.1,-1.4,-1.4,0.3,3.1,-6.5,3.8
4.6,0.9,-0.9,-1.4,1,0.1,3.4,-8,1.2
3.2,0.9,0.5,-1,0.4,0.3,3.6,-7.8,1.7
3.4,-0.5,-1.4,5,0.2,1.5,5.8,-7.9,2.2
4.8,-0.9,0.5,0.3,-1,2.9,3,-7.2,3.7
